Firma,Rolle,Kategorie,Fit,Ort,Link,Kanal,Datum_beworben,Status,Follow-up-Datum,Notizen
Supertext,AI Sales Development Representative,Sales/AI,Realistisch,Zürich,https://ch.indeed.com/rc/clk?jk=5a617c5e33021fc8,,,Offen,,
CONVOTIS Schweiz AG,Pre Sales Engineer Cloud & Security,Sales Engineering,Realistisch,Zürich,https://ch.indeed.com/rc/clk?jk=a47b151bfdc7fe57,,,Offen,,
Eaton,"Channel Sales Engineer, EWS Switzerland",Technischer Vertrieb,Realistisch,Zürich,https://ch.indeed.com/rc/clk?jk=0998f95960421db0,,,Offen,,
Abraxas Informatik AG,ServiceNow Engineer KI & Automation,KI & Automation,Realistisch,Zürich Flughafen,https://ch.indeed.com/rc/clk?jk=60ff6dffad9ac61d,,,Offen,,
TechBiz Global GmbH,Infrastructure Verification Engineer,Automation/DevOps,Realistisch,Zürich,https://ch.indeed.com/rc/clk?jk=1548d22c5f43ac27,,,Offen,,
Zühlke,DevOps Engineer,Automation/Engineering,Realistisch,Schlieren (Zürich),https://ch.indeed.com/rc/clk?jk=4d82c629c7ff1781,,,Offen,,
Fireblocks,"Sales Engineer, Banking",Sales Engineering,Stretch,Zürich,https://ch.indeed.com/rc/clk?jk=f8ab75ef37ff9049,,,Offen,,
Check Point Software Technologies,Sales Engineer,Pre-Sales/Security,Stretch,Zürich,https://ch.indeed.com/rc/clk?jk=cf68e38e1b9029a9,,,Offen,,
Salesforce,Forward Deployed Engineer,Stretch,Stretch,Zürich,https://ch.indeed.com/rc/clk?jk=cac155403199b8ca,,,Offen,,
Vontobel Holding AG,"Senior AI Engineer, Agentic Solutions (MS AI Foundry)",Stretch/AI,Stretch,Zürich,https://ch.indeed.com/rc/clk?jk=9b061c700dfa6a6b,,,Offen,,
PayTec AG,Aussendienst Mittelland,Technischer Vertrieb,Bester Fit,Effretikon (Zürich-Nähe),https://ch.indeed.com/rc/clk?jk=1c59051ef3b2ccec,,,Offen,,Verlangt genau deine Aussendienst-Erfahrung
Lenovo,Junior Technical Sales Consultant,Sales Engineering,Bester Fit,Zürich,https://ch.indeed.com/rc/clk?jk=55e10cc334b20ac4,,,Offen,,Grosser Konzern mit strukturiertem Onboarding
cogify ag,Junior IT Sales Specialist,Sales,Bester Fit,Zürich,https://ch.indeed.com/rc/clk?jk=790ca49849b5e274,,,Offen,,Eigene Pipeline aufbauen
ESYON GmbH,Junior Pre-Sales Consultant Digital Commerce Solutions,Sales Engineering,Bester Fit,Stäfa (Zürichsee),https://ch.indeed.com/rc/clk?jk=feb00a517e568b0c,,,Offen,,Digital Commerce/Shopify-Nähe
Salonkee,(Junior) Sales Manager im Aussendienst,Sales,Bester Fit,Zürich,https://ch.indeed.com/rc/clk?jk=e1f6aae04d54f378,,,Offen,,SaaS Salon-Software; CHF 85-88K
WTG,Pre-Sales IT (m/w/d),Sales Engineering,Bester Fit,Dietlikon (Zürich),https://ch.indeed.com/rc/clk?jk=07634ed42fac9f70,,,Offen,,
Privesta GmbH,"Quereinsteiger:in im Vertrieb, Immobilien & Kapitalanlagen",Vertrieb,Vorsicht,Zürich,https://ch.indeed.com/rc/clk?jk=09399d87c1875e09,,,Offen,,Provisionsmodell + B/C-Bewilligung pruefen vor Zusage
BLP Digital AG,Applied AI Engineer,IT/AI - kein Sales,Top-Fit,Zürich,https://ch.indeed.com/viewjob?jk=e0ae43677eea89ee,,,Offen,,Anzeige sagt explizit: kein Studium/Zertifikat noetig; n8n als Bonus genannt
Epic Fusion AG,AI Developer / Agentic Software Engineer,IT/AI - kein Sales,Top-Fit,Zürich/Bern,https://ch.indeed.com/viewjob?jk=05b1f65a09588139,,,Offen,,Studium ODER gleichwertige Erfahrung reicht laut Anzeige
TechBiz Global GmbH,Infrastructure Verification Engineer,IT/Automation - kein Sales,Top-Fit,Zürich,https://ch.indeed.com/viewjob?jk=1548d22c5f43ac27,,,Offen,,Rekrutierungsagentur; keine formale Studienpflicht genannt
adesso Schweiz,Automation Tech Consultant UiPath,IT/Automation - kein Sales,Stretch,Zürich,https://ch.indeed.com/viewjob?jk=bfa0c4683ec20140,,,Offen,,Verlangt 2-3 Jahre UiPath-Erfahrung spezifisch
Zühlke,DevOps Engineer,IT/Automation - kein Sales,Stretch,Schlieren (Zürich),https://ch.indeed.com/viewjob?jk=4d82c629c7ff1781,,,Offen,,Verlangt Java/Jenkins/Ansible-Stack statt Python
Caplena,Forward-Deployed Engineer (Python),IT/AI - kein Sales,Top-Fit,Zürich,https://ch.indeed.com/viewjob?jk=421ce9b0c664d3dd,,,Offen,,Kein Studium noetig; 20-30% Kundenkontakt (kein Sales aber Support)
Lakera,"Software Engineer, Agentic team",IT/AI - kein Sales,Top-Fit,Zürich,https://ch.indeed.com/viewjob?jk=9433dd6f3f198c40,,,Offen,,AI-Security-Startup; kein Studium genannt; hoher Anspruch
Scalera,Senior Backend Engineer (Python) Remote,IT/AI - kein Sales,Stretch,Remote (Zürich HQ),https://ch.indeed.com/viewjob?jk=67953c893a5cf932,,,Offen,,Kein Studium noetig; verlangt aber 4+ Jahre Erfahrung
Circuit Mind,Lead Software Engineer (Python),IT - kein Sales,Nicht empfohlen,Zürich,https://ch.indeed.com/viewjob?jk=b724ddb11f4fba1a,,,Offen,,Verlangt 5+ Jahre + Senior-Erfahrung; zu senior
